l[m],1MHz,10MHz,100MHz,1000MHz
0.0468,70.11690812,50.11690812,30.11690812,10.11690812
0.0479,69.91511491,49.91511491,29.91511491,9.915114913
0.049,69.71790358,49.71790358,29.71790358,9.717903581
0.0501,69.52507066,49.52507066,29.52507066,9.525070664
0.0513,69.31947788,49.31947788,29.31947788,9.319477879
0.0525,69.11863911,49.11863911,29.11863911,9.118639113
0.0537,68.92233947,48.92233947,28.92233947,8.922339467
0.055,68.71457139,48.71457139,28.71457139,8.714571391
0.0562,68.52709887,48.52709887,28.52709887,8.52709887
0.0575,68.32846829,48.32846829,28.32846829,8.328468287
0.0589,68.11951929,48.11951929,28.11951929,8.119519285
0.0603,67.91547894,47.91547894,27.91547894,7.915478938
0.0617,67.7161219,47.7161219,27.7161219,7.7161219
0.0631,67.521238,47.521238,27.521238,7.521237996
0.0646,67.31717482,47.31717482,27.31717482,7.317174821
0.0661,67.11779599,47.11779599,27.11779599,7.117795991
0.0676,66.92289126,46.92289126,26.92289126,6.922891262
0.0692,66.71970329,46.71970329,26.71970329,6.719703292
0.0708,66.52116003,46.52116003,26.52116003,6.521160027
0.0724,66.32705386,46.32705386,26.32705386,6.327053857
0.0741,66.12546102,46.12546102,26.12546102,6.125461022
0.0759,65.91698966,45.91698966,25.91698966,5.916989663
0.0776,65.72459076,45.72459076,25.72459076,5.724590756
0.0794,65.52541513,45.52541513,25.52541513,5.525415133
0.0813,65.32001427,45.32001427,25.32001427,5.320014269
0.0832,65.11935866,45.11935866,25.11935866,5.119358655
0.0851,64.92323398,44.92323398,24.92323398,4.923233979
0.0871,64.72146208,44.72146208,24.72146208,4.721462081
0.0891,64.5242711,44.5242711,24.5242711,4.5242711
0.0912,64.32192841,44.32192841,24.32192841,4.321928415
0.0933,64.12419231,44.12419231,24.12419231,4.124192306
0.0955,63.92175775,43.92175775,23.92175775,3.921757749
0.0977,63.72393391,43.72393391,23.72393391,3.723933907
0.1,63.52182518,43.52182518,23.52182518,3.521825181
0.102,63.34982175,43.34982175,23.34982175,3.349821746
0.105,63.0980392,43.0980392,23.0980392,3.0980392
0.107,62.93414963,42.93414963,22.93414963,2.934149627
0.11,62.69397148,42.69397148,22.69397148,2.693971478
0.112,62.53746473,42.53746473,22.53746473,2.537464728
0.115,62.30786837,42.30786837,22.30786837,2.307868374
0.117,62.15810795,42.15810795,22.15810795,2.158107946
0.12,61.93820026,41.93820026,21.93820026,1.93820026
0.123,61.72372295,41.72372295,21.72372295,1.723722952
0.126,61.51441428,41.51441428,21.51441428,1.514414279
0.129,61.31003098,41.31003098,21.31003098,1.310030975
0.132,61.11034656,41.11034656,21.11034656,1.110346557
0.135,60.91514981,40.91514981,20.91514981,0.915149811
0.138,60.72424345,40.72424345,20.72424345,0.724243453
0.141,60.53744293,40.53744293,20.53744293,0.537442928
0.145,60.29446514,40.29446514,20.29446514,0.294465136
0.148,60.11659087,40.11659087,20.11659087,0.116590873
0.151,59.94228624,39.94228624,19.94228624,-0.057713765
0.155,59.71519122,39.71519122,19.71519122,-0.284808782
0.158,59.54868344,39.54868344,19.54868344,-0.451316558
0.162,59.33152489,39.33152489,19.33152489,-0.66847511
0.166,59.11966342,39.11966342,19.11966342,-0.88033658
0.17,58.91284675,38.91284675,18.91284675,-1.087153246
0.174,58.71084022,38.71084022,18.71084022,-1.289159785
0.178,58.51342513,38.51342513,18.51342513,-1.486574865
0.182,58.32039742,38.32039742,18.32039742,-1.679602579
0.186,58.1315663,38.1315663,18.1315663,-1.868433703
0.191,57.90115784,37.90115784,17.90115784,-2.098842164
0.195,57.72113295,37.72113295,17.72113295,-2.278867046
0.2,57.50122527,37.50122527,17.50122527,-2.498774732
0.204,57.32922183,37.32922183,17.32922183,-2.670778167
0.209,57.11889946,37.11889946,17.11889946,-2.881100541
0.214,56.91354971,36.91354971,16.91354971,-3.086450286
0.219,56.71294288,36.71294288,16.71294288,-3.287057116
0.224,56.51686481,36.51686481,16.51686481,-3.483135186
0.229,56.32511553,36.32511553,16.32511553,-3.674884466
0.234,56.13750803,36.13750803,16.13750803,-3.862491967
0.24,55.91760035,35.91760035,15.91760035,-4.082399653
0.245,55.73850349,35.73850349,15.73850349,-4.261496506
