l[m],1MHz,10MHz,100MHz,1000MHz
0.0676,133.8457825,93.84578252,53.84578252,13.84578252
0.0692,133.4394066,93.43940658,53.43940658,13.43940658
0.0708,133.0423201,93.04232005,53.04232005,13.04232005
0.0724,132.6541077,92.65410771,52.65410771,12.65410771
0.0741,132.250922,92.25092204,52.25092204,12.25092204
0.0759,131.8339793,91.83397933,51.83397933,11.83397933
0.0776,131.4491815,91.44918151,51.44918151,11.44918151
0.0794,131.0508303,91.05083027,51.05083027,11.05083027
0.0813,130.6400285,90.64002854,50.64002854,10.64002854
0.0832,130.2387173,90.23871731,50.23871731,10.23871731
0.0851,129.846468,89.84646796,49.84646796,9.846467959
0.0871,129.4429242,89.44292416,49.44292416,9.442924162
0.0891,129.0485422,89.0485422,49.0485422,9.048542201
0.0912,128.6438568,88.64385683,48.64385683,8.643856829
0.0933,128.2483846,88.24838461,48.24838461,8.248384612
0.0955,127.8435155,87.8435155,47.8435155,7.843515499
0.0977,127.4478678,87.44786781,47.44786781,7.447867813
0.1,127.0436504,87.04365036,47.04365036,7.043650362
0.102,126.6996435,86.69964349,46.69964349,6.699643492
0.105,126.1960784,86.1960784,46.1960784,6.196078399
0.107,125.8682993,85.86829925,45.86829925,5.868299255
0.11,125.387943,85.38794296,45.38794296,5.387942956
0.112,125.0749295,85.07492946,45.07492946,5.074929455
0.115,124.6157367,84.61573675,44.61573675,4.615736748
0.117,124.3162159,84.31621589,44.31621589,4.316215892
0.12,123.8764005,83.87640052,43.87640052,3.87640052
0.123,123.4474459,83.4474459,43.4474459,3.447445905
0.126,123.0288286,83.02882856,43.02882856,3.028828558
0.129,122.620062,82.62006195,42.62006195,2.62006195
0.132,122.2206931,82.22069311,42.22069311,2.220693114
0.135,121.8302996,81.83029962,41.83029962,1.830299622
0.138,121.4484869,81.44848691,41.44848691,1.448486906
0.141,121.0748859,81.07488586,41.07488586,1.074885856
0.145,120.5889303,80.58893027,40.58893027,0.588930273
0.148,120.2331817,80.23318175,40.23318175,0.233181746
0.151,119.8845725,79.88457247,39.88457247,-0.115427529
0.155,119.4303824,79.43038244,39.43038244,-0.569617565
0.158,119.0973669,79.09736688,39.09736688,-0.902633116
0.162,118.6630498,78.66304978,38.66304978,-1.336950219
0.166,118.2393268,78.23932684,38.23932684,-1.760673159
0.17,117.8256935,77.82569351,37.82569351,-2.174306493
0.174,117.4216804,77.42168043,37.42168043,-2.578319569
0.178,117.0268503,77.02685027,37.02685027,-2.97314973
0.182,116.6407948,76.64079484,36.64079484,-3.359205157
0.186,116.2631326,76.26313259,36.26313259,-3.736867406
0.191,115.8023157,75.80231567,35.80231567,-4.197684328
0.195,115.4422659,75.44226591,35.44226591,-4.557734092
0.2,115.0024505,75.00245054,35.00245054,-4.997549464
0.204,114.6584437,74.65844367,34.65844367,-5.341556335
0.209,114.2377989,74.23779892,34.23779892,-5.762201082
0.214,113.8270994,73.82709943,33.82709943,-6.172900572
0.219,113.4258858,73.42588577,33.42588577,-6.574114231
0.224,113.0337296,73.03372963,33.03372963,-6.966270371
0.229,112.6502311,72.65023107,32.65023107,-7.349768931
0.234,112.2750161,72.27501607,32.27501607,-7.724983934
0.24,111.8352007,71.83520069,31.83520069,-8.164799306
0.245,111.477007,71.47700699,31.47700699,-8.522993012
0.251,111.0567015,71.0567015,31.0567015,-8.943298497
0.257,110.6463254,70.64632543,30.64632543,-9.353674571
0.263,110.2454204,70.24542042,30.24542042,-9.754579577
0.269,109.8535592,69.85355916,29.85355916,-10.14644084
0.275,109.4703426,69.47034261,29.47034261,-10.52965739
0.282,109.033686,69.03368603,29.03368603,-10.96631397
0.288,108.6679509,68.66795085,28.66795085,-11.33204915
0.295,108.2507697,68.25076972,28.25076972,-11.74923028
0.302,107.8433726,67.84337264,27.84337264,-12.15662736
0.309,107.4453112,67.44531119,27.44531119,-12.55468881
0.316,107.0561671,67.05616706,27.05616706,-12.94383294
0.324,106.62185,66.62184995,26.62184995,-13.37815005
0.331,106.2505306,66.25053061,26.25053061,-13.74946939
0.339,105.8356624,65.83566243,25.83566243,-14.16433757
0.347,105.4304714,65.43047137,25.43047137,-14.56952863
0.355,105.0345162,65.03451624,25.03451624,-14.96548376
0.363,104.6473854,64.64738536,24.64738536,-15.35261464
0.372,104.2219328,64.22193277,24.22193277,-15.77806723
0.38,103.8523065,63.8523065,23.8523065,-16.1476935
0.389,103.4456663,63.44566631,23.44566631,-16.55433369
0.398,103.0483275,63.04832748,23.04832748,-16.95167252
0.407,102.659874,62.65987399,22.65987399,-17.34012601
0.417,102.2382082,62.23820816,22.23820816,-17.76179184
0.427,101.8265354,61.82653536,21.82653536,-18.17346464
0.437,101.4243929,61.42439288,21.42439288,-18.57560712
0.447,101.0313494,61.03134944,21.03134944,-18.96865056
0.457,100.6470024,60.64700236,20.64700236,-19.35299764
0.468,100.2338162,60.23381624,20.23381624,-19.76618376
0.479,99.83022983,59.83022983,19.83022983,-20.16977017
0.49,99.43580716,59.43580716,19.43580716,-20.56419284
0.501,99.05014133,59.05014133,19.05014133,-20.94985867
0.513,98.63895576,58.63895576,18.63895576,-21.36104424
0.525,98.23727823,58.23727823,18.23727823,-21.76272177
0.537,97.84467893,57.84467893,17.84467893,-22.15532107
0.55,97.42914278,57.42914278,17.42914278,-22.57085722
0.562,97.05419774,57.05419774,17.05419774,-22.94580226
0.575,96.65693657,56.65693657,16.65693657,-23.34306343
0.589,96.23903857,56.23903857,16.23903857,-23.76096143
0.603,95.83095788,55.83095788,15.83095788,-24.16904212
0.617,95.4322438,55.4322438,15.4322438,-24.5677562
0.631,95.04247599,55.04247599,15.04247599,-24.95752401
0.646,94.63434964,54.63434964,14.63434964,-25.36565036
0.661,94.23559198,54.23559198,14.23559198,-25.76440802
0.676,93.84578252,53.84578252,13.84578252,-26.15421748
0.692,93.43940658,53.43940658,13.43940658,-26.56059342
0.708,93.04232005,53.04232005,13.04232005,-26.95767995
0.724,92.65410771,52.65410771,12.65410771,-27.34589229
0.741,92.25092204,52.25092204,12.25092204,-27.74907796
0.759,91.83397933,51.83397933,11.83397933,-28.16602067
0.776,91.44918151,51.44918151,11.44918151,-28.55081849
0.794,91.05083027,51.05083027,11.05083027,-28.94916973
0.813,90.64002854,50.64002854,10.64002854,-29.35997146
0.832,90.23871731,50.23871731,10.23871731,-29.76128269
0.851,89.84646796,49.84646796,9.846467959,-30.15353204
0.871,89.44292416,49.44292416,9.442924162,-30.55707584
0.891,89.0485422,49.0485422,9.048542201,-30.9514578
0.912,88.64385683,48.64385683,8.643856829,-31.35614317
0.933,88.24838461,48.24838461,8.248384612,-31.75161539
0.955,87.8435155,47.8435155,7.843515499,-32.1564845
0.977,87.44786781,47.44786781,7.447867813,-32.55213219
1,87.04365036,47.04365036,7.043650362,-32.95634964
